000-1$2$13$
ID|2|6|1$Vehiculo|1|4|0$
007314|9?rH|
009761|`s?(|
003747|rm``|
006930|"$GX|
002995|THJ#|
000631| {(.|
003211|j4k`|
007266|[i;0|
005358|*/s'|
008615|>4I2|
009998|=F/@|
002137|JV4 |
009616|:x=:|
009243|uFI{|
002266|tP]Q|
005697|<4{`|
007825|]p#{|
005910|AgJ^|
008105|/Y:s|
002479|KNsf|
005181|HL<Y|
002419|.eV$|
004342|85on|
007820|ImjC|
005751|_*A<|
004925|qk{<|
004334|a71.|
005869|"@0d|
007381|lM@{|
003368|4v!f|
005806|Hqp-|
005443|z]P[|
005456|#-4t|
006984|y12\|
009612|bC& |
001690|c7ek|
009127|d'h4|
009421|9&7a|
002681|w)+/|
005936|"[&%|
000585|i:y |
005987|KGvJ|
002590|&{J%|
001457|O1qO|
000660|Rudl|
001045|{{O0|
001359|@Z?C|
009891|RFHW|
001790|`^WH|
000909|Ai.H|
005076|#XgS|
001161|&Z$X|
003056|l$`i|
004730|!2zB|
000577|(U!t|
002475|{cMx|
000778|C@\!|
008568|+jc/|
000448|^L{ |
004754|C"Y1|
006240|'UzB|
008244|g2 ,|
003653|$!"!|
008700|ej5D|
004684|FqER|
000581|w*{X|
001033|WyXz|
002023|{M->|
006854|%Ca(|
001043|paNt|
004693|}kud|
001075|WG*9|
000756|TPkN|
002072|thBg|
004688|}zc7|
009464|d,U%|
006207|jR-\|
003087|PvRO|
002841|ccOV|
008644|,Yo{|
008537|EwK<|
002259|{m%{|
007050|%%4%|
009336|K%*7|
005543|XR/D|
002478|Ja/I|
005226|G^;m|
009654|9,jy|
009194|%Q7=|
008939|ZV:`|
004422|uNe]|
004414|m,ta|
000710|^&'D|
007289|#6)J|
009345|tDTJ|
002741|PZEp|
009012|.v/h|
002704|hcd`|
007913|Mf?<|
009442|rO l|
005348|o'L/|
004399|XUYh|
005999|yI4e|
006824|&YW4|
001292|k"8V|
008212|e}8N|
004936|eqks|
000216|\k{N|
000637|.I]"|
000517| Rky|
007508|8!z>|
007879|unlb|
005317|p&:r|
000867|?lB&|
009731|y/5X|
009763|62B_|
003732|[;au|
003986|)N,A|
001769|P)ya|
002855|wgE%|
009092|*zwI|
006689|$Vj |
006137|!!X8|
009310|N63+|
000475|Qt=Z|
009825|EI{1|
009803|lw.e|
006423|{Sk'|
007929|i Pn|
007201|VVnr|
001882|Xb,(|
003328|xYMe|
003421|OjA0|
000679|PY[>|
003293|mi@j|
003906|?--D|
005874|Gw4 |
008004|P>r*|
007377|<:LP|
005819|s57^|
007661|<Yo(|
000801|NLF=|
006087|8fCq|
007216|/PQW|
008895|J"qz|
004059|@!@w|
007575|U(Id|
001452|WaDs|
001821|VO{&|
000407|8^Dj|
004977|`gwp|
009410|TJc |
001287|Lp6)|
005172|qV"b|
007477|xKHQ|
005281|H(G |
006066|r^A,|
009224|>ev;|
002999|h+-X|
003138|U,X$|
