10000$3$17$
ID|2|6|1$Nombre|1|5|0$Edad|2|2|0$
002309|Ccx8W|16|
346051|p (K]|30|
094681|N>Wb>|25|
948279|*Xfp&|96|
464359|?7j{6|21|
571790|n?i`Y|32|
236895|R&a"^|00|
449352|{6mCn|34|
450981|0Ftjw|61|
907594|0b! #|78|
995220|vNCJn|92|
699490|O[fgq|25|
287434|{aAGD|08|
117315|=O{g3|47|
882143|PY}HD|79|
063878|4ct}@|62|
856823|M#/de|25|
379330|+YAb*|07|
422282|=ri)N|89|
885573|.HyB-|23|
688890|h#_Q@|70|
713922|'u`LP|49|
602231|Z]33k|38|
005894|U#CcK|22|
098820|sI ]f|75|
582970|)ibJa|96|
313415|Mb^*[|11|
634071|H+J I|37|
892093|t.A%q|27|
213438|Z"/cl|53|
434937|ilB8P|02|
509746|G/PoU|88|
345799| iE0w|10|
073716|'D4aF|67|
197786|Nko9s|80|
142468|_j0(z|84|
312867|Q\YQb|64|
162659|u"3{F|82|
059417|)'AW.|79|
925647|#7_b#|81|
646210|9l:jd|49|
193539|H/UZ1|74|
882014|rLT{T|87|
741978|b^a"1|92|
918854|5NkNV|47|
306093|Vz.;E|83|
680167|p$OdP|65|
950289|@7l%1|45|
563891|C.'rv|62|
611612|h53@K|90|
150041|pulcy|42|
591447|L]al0|05|
055443|\:N!b|32|
895637|t 'x6|07|
273831|a3LT*|81|
714371|@s8ll|55|
867350|}d>[;|80|
952240|}xA0y|30|
607440|1}_rL|44|
320228|Wc7wX|70|
482895|`e1_f|43|
105472|#Xh<R|45|
955828|Mnq^m|92|
636759|<zk/_|39|
440652|So]6p|96|
158585|XZ$u4|26|
502346|fNzPX|47|
276334|a\S9X|85|
770398|TF&)Q|53|
792519|]n'Rd|67|
277285|x3]z{|58|
809034|Uc39A|66|
379560|z)7Pi|65|
675095|<Wiza|24|
860188|G{3[J|57|
139551|bg&9L|07|
505810|n![&E|34|
945136|0e!M>|50|
108305|;\M{s|70|
852339|@m3$p|29|
905535|Y(FcC|69|
825657|h1uyv|28|
107864|Qca(A|66|
673935|Q,`q6|65|
991689|Bb${j|74|
927298|0#!44|52|
351485|Go-4n|22|
206714|K:C{a|24|
152169|35VU4|87|
799121| AiJE|27|
422065|s}*<*|56|
635858|xBmFw|74|
889286|Zlj)>|66|
746380|R}Ml[|73|
682937|"ZNuY|56|
125904|dF:x%|87|
851822|{p;r^|17|
079827|{cuP}|13|
796355|t4.2*|46|
803819|cPqcw|38|
884750|{Q:zC|33|
594902|$2A"2|40|
167309|KwbAG|08|
958819|QNvQ |14|
379680|3401!|07|
931125|EpQc%|08|
213997|QGn{@|22|
432495|h^HU.|04|
076186|I`Y\0|01|
656522|2jQW]|27|
898262|bMWO0|18|
145737|Q6BU1|50|
245772|YF5$)|78|
999589|9sAe`|62|
656640|?g0=7|62|
794474|GLo4{|47|
522409|/}2i_|45|
082823|$k@X`|27|
323147|\px7Y|42|
540592|,.vnZ|29|
024550|s6*$O|98|
709019|1935&|07|
335005|"QI_C|45|
923474|8#gE2|85|
208807|(cS{y|73|
609746|eOEvh|60|
662175|nbQ-5|38|
364588|rY ,\|33|
153069|*}"M{|38|
748684|3O"x!|48|
733212|%pT0n|21|
016295|%#+3v|97|
737024|nI-5H|74|
526178|`"HsQ|45|
167528|lc6rU|28|
366594|`qAe0|24|
785409|B-U3V|30|
997106|:.Fz0|50|
948024|{o6&n|92|
532718|`S8B`|05|
384521|-[XOi|15|
583368|[H`vV|62|
531172|#M ;>|00|
268277|I9V+l|12|
575095|h ,u[|99|
615525|`0_>X|72|
946688|KdDN3|61|
621105|l1F7J|82|
188376|RCE=C|91|
712804|:8u{c|27|
795041|=5khy|93|
674166|I,q7X|58|
496822|>l,q1|21|
642576|T>xoW|62|
643148|<}]sN|70|
415414|I1L.X|56|
534219|20sP{|91|
056519|J() G|76|
632523|:03VI|12|
243281|wp_\>|28|
484163|v$2D4|76|
383774|Lwnv<|89|
867597|c7>}a|96|
636701|,xV%'|78|
888354|_ziq |51|
184971|4sG`m|91|
657495|EKl*b|16|
980505|F4NlI|92|
092002|jr,en|25|
